ID,title,artist,artist_filtered,year,gender,points,n,n1,n2,n3,n4,n5,appears_once,appears_twice
128,Humble,Kendrick Lamar,Kendrick Lamar,2017,male,8,1,0,1,0,0,0,FALSE,FALSE
129,I Heard,Young Fathers,Young Fathers,2013,male,8,1,0,1,0,0,0,TRUE,FALSE
130,I’ll Be Missing You,Puff Daddy ft. Faith Evans and 112,Puff Daddy ft. Faith Evans and 112,1997,mixed,8,1,0,1,0,0,0,TRUE,FALSE
131,Je Danse Le Mia,IAM,IAM,1994,male,8,1,0,1,0,0,0,TRUE,FALSE
132,Jonylah Forever,Lupe Fiasco,Lupe Fiasco,2013,male,8,1,0,1,0,0,0,FALSE,FALSE
133,Last Dayz,Onyx,Onyx,1995,male,8,1,0,1,0,0,0,TRUE,FALSE
134,Liberation,OutKast,OutKast,1998,male,8,1,0,1,0,0,0,FALSE,FALSE
135,Lucifer,JAY-Z,JAY-Z,2003,male,8,1,0,1,0,0,0,FALSE,FALSE
136,Marcy Me,JAY-Z,JAY-Z,2017,male,8,1,0,1,0,0,0,FALSE,FALSE
137,Murder,UGK,UGK,1996,male,8,1,0,1,0,0,0,FALSE,TRUE
138,New World Water,Yasiin Bey (Mos Def),Yasiin Bey (Mos Def),1999,male,8,1,0,1,0,0,0,TRUE,FALSE
139,Scenario,A Tribe Called Quest,A Tribe Called Quest,1991,male,8,1,0,1,0,0,0,FALSE,FALSE
140,Self Destruction,Stop The Violence Movement,Stop The Violence Movement,1989,mixed,8,1,0,1,0,0,0,TRUE,FALSE
141,Slippin',DMX,DMX,1998,male,8,1,0,1,0,0,0,FALSE,TRUE
142,So Many Tears,2Pac,2Pac,1995,male,8,1,0,1,0,0,0,FALSE,FALSE
143,Soweto,ProKid,ProKid,2005,male,8,1,0,1,0,0,0,TRUE,FALSE
144,Super Bass,Nicki Minaj,Nicki Minaj,2011,female,8,1,0,1,0,0,0,TRUE,FALSE
145,Takkies,YoungstaCPT,YoungstaCPT,2016,male,8,1,0,1,0,0,0,TRUE,FALSE
146,The Black God,SpaceGhostPurrp,SpaceGhostPurrp,2012,male,8,1,0,1,0,0,0,TRUE,FALSE
147,The Bridge Is Over,BDP,BDP,1987,male,8,1,0,1,0,0,0,TRUE,FALSE
148,The World Is Yours,Nas,Nas,1994,male,8,1,0,1,0,0,0,FALSE,FALSE
149,Ultralight Beam,Kanye West,Kanye West,2016,male,8,1,0,1,0,0,0,FALSE,FALSE
150,Warm It Up Kane,Big Daddy Kane,Big Daddy Kane,1989,male,8,1,0,1,0,0,0,TRUE,FALSE
