ID,title,artist,artist_filtered,year,gender,points,n,n1,n2,n3,n4,n5,appears_once,appears_twice
298,Regrets,JAY-Z,JAY-Z,1996,male,2,1,0,0,0,0,1,FALSE,FALSE
299,Rock Wit U,Joe ft. G-Unit,Joe ft. G-Unit,2003,male,2,1,0,0,0,0,1,TRUE,FALSE
300,Root Down,Beastie Boys,Beastie Boys,1994,male,2,1,0,0,0,0,1,FALSE,TRUE
301,Scotty,D4L,D4L,2005,male,2,1,0,0,0,0,1,TRUE,FALSE
302,Shinjitsu No Dangan,King Giddra,King Giddra,1995,male,2,1,0,0,0,0,1,TRUE,FALSE
303,Shoop,Salt-N-Pepa,Salt-N-Pepa,1993,female,2,1,0,0,0,0,1,FALSE,TRUE
304,Still Fly,Big Tymers,Big Tymers,2002,male,2,1,0,0,0,0,1,TRUE,FALSE
305,The Breaks,Kurtis Blow,Kurtis Blow,1980,male,2,1,0,0,0,0,1,TRUE,FALSE
306,Throw Some D’s,Rich Boy,Rich Boy,2007,male,2,1,0,0,0,0,1,TRUE,FALSE
307,Time’s Up,O.C.,O.C.,1994,male,2,1,0,0,0,0,1,TRUE,FALSE
308,Turn On The Lights,Future,Future,2012,male,2,1,0,0,0,0,1,FALSE,FALSE
309,Warning,The Notorious B.I.G.,The Notorious B.I.G.,1994,male,2,1,0,0,0,0,1,FALSE,FALSE
310,Who Dat,J.T. Money ft. Solé,J.T. Money ft. Solé,1999,mixed,2,1,0,0,0,0,1,TRUE,FALSE
311,Wipe Me Down (Remix),Foxx & Lil Boosie & Webbie,Foxx & Lil Boosie & Webbie,2006,male,2,1,0,0,0,0,1,TRUE,FALSE
